string,doc_id,word_loc,string_length,number_words,before_'s,contains_'s,before_after_said,position_or_title_before,post_name_after,two_capitals,capital_before,capital_after,contains_first_name,first_name_before,first_name_after,contains_last_name,last_name_before,last_name_after,common_proper_noun,contains_nba_teamcity,contains_nba_person,contains_partial_nba_person,partial_nba_person_before,partial_nba_person_after,label
Justin,001.,0,6,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0
Justin Anderson,001.,0,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
Anderson,001.,1,8,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0
Courtney,001.,11,8,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0
Courtney Lee,001.,11,12,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
Lee,001.,12,3,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0
Anderson,001.,25,8,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
Philadelphia,001.,34,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
Justin,001.,36,6,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0
Justin Anderson,001.,36,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
Anderson,001.,37,8,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0
New,001.,48,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
New York,001.,48,8,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0
New York Knicks,001.,48,15,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
York,001.,49,4,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0
York Knicks,001.,49,11,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0
Knicks,001.,50,6,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0
Monday,001.,52,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
X-rays,001.,58,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Anderson,001.,64,8,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
Sixers,001.,76,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Brian,002.,0,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
Brian Windhorst,002.,0,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
Windhorst,002.,1,9,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0
Los,002.,3,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
Los Angeles,002.,3,11,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
Angeles,002.,4,7,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0
Jordan,002.,6,6,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0
Jordan Clarkson,002.,6,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
Clarkson,002.,7,8,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0
Larry,002.,9,5,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0
Larry Nance,002.,9,11,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0
Larry Nance Jr,002.,9,14,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
Nance,002.,10,5,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0
Nance Jr,002.,10,8,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0
Jr,002.,11,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Cleveland,002.,13,9,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Lakers,002.,20,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
LeBron,002.,24,6,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0
LeBron James,002.,24,12,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
James,002.,25,5,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0
Paul,002.,27,4,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0
Paul George,002.,27,11,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
George,002.,28,6,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0
Which,002.,32,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ET,002.,42,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Chicago,002.,56,7,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Chicago Bulls,002.,56,13,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Bulls,002.,57,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
C,002.,59,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
C Omer,002.,59,6,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
C Omer Asik,002.,59,11,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
C Omer Asik G,002.,59,13,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0
Omer,002.,60,4,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
Omer Asik,002.,60,9,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1
Omer Asik G,002.,60,11,3,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0
Omer Asik G Tony,002.,60,16,4,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0
Asik,002.,61,4,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0
Asik G,002.,61,6,2,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0
Asik G Tony,002.,61,11,3,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0
Asik G Tony Allen,002.,61,17,4,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0
G,002.,62,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0
G Tony,002.,62,6,2,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0
G Tony Allen,002.,62,12,3,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
G Tony Allen G,002.,62,14,4,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0
