string,doc_id,word_loc,string_length,number_words,before_'s,contains_'s,before_after_said,position_or_title_before,post_name_after,two_capitals,capital_before,capital_after,contains_first_name,first_name_before,first_name_after,contains_last_name,last_name_before,last_name_after,common_proper_noun,contains_nba_teamcity,contains_nba_person,contains_partial_nba_person,partial_nba_person_before,partial_nba_person_after,label
Cavaliers,003.,6,9,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
Cleveland,003.,25,9,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
Every,003.,27,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Every Monday,003.,27,12,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
Monday,003.,28,6,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
Kevin,003.,37,5,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0
Kevin Arnovitz,003.,37,14,2,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1
Kevin Arnovitz Amin,003.,37,19,3,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0
Kevin Arnovitz Amin Elhassan,003.,37,28,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Arnovitz,003.,38,8,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
Arnovitz Amin,003.,38,13,2,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0
Arnovitz Amin Elhassan,003.,38,22,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
Amin,003.,39,4,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
Amin Elhassan,003.,39,13,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Elhassan,003.,40,8,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Ramona,003.,42,6,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Ramona Shelburne,003.,42,16,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
Shelburne,003.,43,9,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Marc,003.,46,4,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0
Marc J,003.,46,6,2,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0
Marc J Spears,003.,46,13,3,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1
J,003.,47,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0
J Spears,003.,47,8,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0
Spears,003.,48,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Chris,003.,51,5,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0
Chris Herring,003.,51,13,2,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1
Herring,003.,52,7,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Power,003.,67,5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
CHICAGO,009.,0,7,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Bulls,009.,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kris,009.,5,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0
Kris Dunn,009.,5,9,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1
Dunn,009.,6,4,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0
Chicago,009.,24,7,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Chicago Executive,009.,24,17,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Executive,009.,25,9,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
John,009.,31,4,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0
John Paxson,009.,31,11,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
Paxson,009.,32,6,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0
Dunn,009.,34,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Minnesota,009.,62,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Washington,009.,64,10,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
Friday,009.,66,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
Saturday,009.,68,8,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0
Saturday Chicago,009.,68,16,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
Chicago,009.,69,7,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0
Orlando,009.,71,7,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0
Monday,009.,73,6,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0
Monday Dunn,009.,73,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Dunn,009.,74,4,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1
Zach,009.,85,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Zach LaVine,009.,85,11,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
LaVine,009.,86,6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Lauri,009.,88,5,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0
Lauri Markkanen,009.,88,15,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
