Curly Armstrong
Cliff Barker
Leo Barnhorst
Ed Bartels
Ralph Beard
Gene Berce
Charlie Black
Nelson Bobb
Jake Bornheimer
Vince Boryla
Don Boven
Harry Boykoff
Joe Bradley
Bob Brannum
Carl Braun
Frankie Brian
Price Brookfield
Bob Brown
Jim Browne
Walt Budko
Jack Burmaster
Tommy Byrnes
Bill Calhoun
Don Carlson
Bob Carpenter
Jake Carter
Al Cervi*
John Chaney
Leroy Chollet
Bill Closs
Paul Cloyd
Jack Coleman
Bobby Cook
Ray Corley
Jack Cotton
Dillard Crocker
Chink Crossin
Fran Curran
Jimmy Darden
Bob Davies*
Hook Dillon
Earl Dodd
Joe Dolhon
Bob Doll
Harry Donovan
Andy Duncan
Dike Eddleman
Gene Englund
Bob Evans
Johnny Ezersky
Bob Feerick
George Feigenbaum
Arnie Ferrin
Jerry Fleishman
Joe Fulks*
Bill Gabor
Elmer Gainer
Harry Gallatin*
Vern Gardner
Frank Gates
Dee Gibson
Hoot Gibson
Chuck Gilmur
Normie Glick
Paul Gordon
Joe Graboski
Bud Grant
Don Grate
Alex Groza
Al Guokas
Robert Hahn
Chick Halbert
Bruce Hale
Dale Hamilton
Alex Hannum*
John Hargis
Bob Harris
Bob Harrison
Billy Hassett
Marshall Hawkins
Bill Henry
Bill Herman
Kleggie Hermsen
Sonny Hertzberg
Paul Hoffman
Joe Holland
Red Holzman*
Gene James
Howie Janotta
Tony Jaros
Buddy Jeannette*
Arnie Johnson
Ralph Johnson
Wah Wah
Noble Jorgensen
George Kaftan
Leo Katkaveck
Jack Kerris
Bob Kinney
Walt Kirk
Leo Klier
Duane Klueh
Lee Knorek
Milo Komenich
Leo Kubiak
Frank Kudelka
Walt Lautenbach
Tony Lavelli
Ed Leede
Andrew Levane
Freddie Lewis
Ron Livingstone
John Logan
Ray Lumpp
Ed Macauley*
Johnny Macknowski
John Mahnken
John Mandic
Slater Martin*
Ariel Maughan
Matt Mazza
Mike McCarron
Dick McGuire*
Bones McKinney
Mal McMullen
Dick Mehen
Ken Menke
Stan Miasek
Ed Mikan
George Mikan*
Vern Mikkelsen*
Al Miksis
Murray Mitchell
Leo Mogus
Max Morris
Joe Mullaney
Jerry Nagel
Jack Nichols
Richie Niemiera
Paul Noel
Jim Nolan
Johnny Norlander
George Nostrand
Mike Novak
Dermie O'Connell
Andy O'Donnell
Dick O'Keefe
John Oldham
Gene Ollrich
Johnny Orr
Don Otten
Mac Otten
Red Owens
Easy Parham
Jack Parkinson
Charlie Parsley
Stan Patrick
Johnny Payak
Warren Perkins
Ed Peterson
Jack Phelan
Andy Phillip*
Jim Pollard*
John Pritchard
Les Pugh
Don Putman
George Ratkovicz
Don Ray
Chick Reiser
Arnie Risen*
Tex Ritter
Bill Roberts
Red Rocha
Kenny Rollins
Bob Royer
Jerry Rullo
Ed Sadowski
Kenny Sailors
Pep Saul
Herm Schaefer
Marv Schatzman
Fred Schaus
Dolph Schayes*
Milt Schoon
Howie Schultz
Dick Schulz
Fred Scolari
Wayne See
Glen Selbo
Rollie Seltz
Jim Seminoff
George Senesky
Paul Seymour
Carl Shaeffer
Howie Shannon
Charley Shipp
Connie Simmons
Belus Smawley
Jack Smiley
Chips Sobek
Odie Spears
Art Spector
Ed Stanczak
Gene Stump
Mike Todorovich
Jack Toomay
Bob Tough
Blackie Towery
Dick Triptow
Butch Van
Gene Vance
Ernie Vandeweghe
Floyd Volker
Whitey Von
Clint Wager
Danny Wagner
Brady Walker
Paul Walther
Bobby Wanzer*
Murray Wier
D.C. Wilcutt
Bob Wood
Max Zaslofsky
nan
Paul Arizin*
Ed Beach
Leon Blevins
Ike Borsavage
Art Burris
Gerry Calabrese
Cal Christensen
Nat Clifton*
Chuck Cooper
Bob Cousy*
Hank DeZonie
Bob Donham
Ray Ellefson
Larry Foust
Ed Gayda
Joe Hutton
Bob Lavoy
Earl Lloyd*
Don Lofgran
Norm Mager
Joe McNamee
Chuck Mrazovich
Ken Murray
Tommy O'Keefe
Kevin O'Shea
Don Rehfeldt
Jim Riffey
Alan Sawyer
Herb Scherer
Dick Schnittker
Bill Sharman*
Don Barksdale*
Elmer Behnke
Stan Brown
Ed Dahler
Nate DeLong
Dick Dickey
Jake Fendley
Jerry Fowler
Lew Hitch
Mel Hutchins
Neil Johnston*
Jack Kiley
George King
John McConathy
Alfred McGuire*
Dave Minor
Ralph O'Brien
Wally Osterkorn
Mel Payton
John Pilch
Ray Ragelis
Sam Ranzino
John Rennicke
Don Savage
Chuck Share
Zeke Sinicola
Whitey Skoog
Jim Slaughter
Bill Tosheff
Bob Wilson
Jim Baechtold
Jim Brasco
Dick Bunt
Gene Conley
