Celtics,Boston,Massachusetts,TD Garden
Nets,Brooklyn,New York,Barclays Center
Knicks,New York,New York,Madison Square Garden
76ers,Philadelphia,Pennsylvania,Wells Fargo Center
Raptors,Toronto,Ontario,Air Canada Centre
Bulls,Chicago,Illinois,United Center
Cavaliers,Cleveland,Ohio,Quicken Loans Arena
Pistons,Detroit,Michigan,The Palace of Auburn Hills
Pacers,Indianapolis,Indiana,Bankers Life Fieldhouse
Bucks,Milwaukee,Wisconsin,Bradley Center
Hawks,Atlanta,Georgia,Philips Arena
Bobcats,Charlotte,North Carolina,Time Warner Cable Arena
Heat,Miami,Florida,AmericanAirlines Arena
Magic,Orlando,Florida,Amway Center
Wizards,Washington,D.C.,Verizon Center
Nuggets,Denver,Colorado,Pepsi Center
Timberwolves,Minneapolis,Minnesota,Target Center
Thunder,Oklahoma City,Oklahoma,Chesapeake Energy Arena
Trail Blazers,Portland,Oregon,Rose Garden
Jazz,Salt Lake City,Utah,EnergySolutions Arena
Warriors,Oakland,California,Oracle Arena
Clippers,Los Angeles,California,Staples Center
Lakers,Los Angeles,California,Staples Center
Suns,Phoenix,Arizona,US Airways Center
Kings,Sacramento,California,Power Balance Pavilion
Mavericks,Dallas,Texas,American Airlines Center
Rockets,Houston,Texas,Toyota Center
Grizzlies,Memphis,Tennessee,FedExForum
Hornets,New Orleans,Louisiana,New Orleans Arena
